TIME,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
Spain,14.7,14.6,14.5,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14,14,13.9,13.9,13.9,13.7,14.5,15.3,15.5,15.9,16.2,16.4,16.4,16.3,16.3,16.3,15.8,15.7,15.4,15.5,15.5,15.4,15,14.6,14.1,13.7,13.4,13.4,13.4,13.3,13.3,12.9,12.6,12.6,12.6,12.6,12.7,12.5
France,8.8,8.8,8.8,8.8,8.7,8.7,8.5,8.6,8.5,8.3,8.2,8.1,8.2,8.2,8.2,8.2,7.8,7.5,7.5,7.1,7.5,8.5,9,9,8.3,8.1,7.9,8,8.2,8.2,8.2,8.1,8,7.9,7.8,7.7,7.6,7.4,7.4,7.3,7.3,7.4,7.5,7.6,7.6,7.3,7.2,7.1,7.1
Croatia,7.7,7.6,7.4,7.4,7.2,7,6.7,6.6,6.6,6.6,6.5,6.5,6.3,6.3,6.2,6.1,6,6.5,7.6,8,8.1,8.2,8.3,8.4,8.4,8.5,8.6,8.6,8.5,8.4,8.2,8.1,7.7,7.5,7.3,7.2,6.9,6.8,6.7,6.6,6.6,6.6,6.5,6.5,6.6,6.6,6.6,6.6,6.5
Italy,10.7,10.6,10.2,10.4,10.5,10.1,10.3,10,9.6,9.6,9.4,9.8,9.5,9.8,9.7,9.6,9.6,7.8,7.5,8.7,9.6,10.1,9.9,10,10,9.5,9.8,10.2,10.2,10.1,10.2,9.8,9.4,9.2,9.1,9,9.2,9,8.8,8.7,8.5,8.3,8.2,8.1,8,7.9,7.9,7.9,7.8
Cyprus,7.8,7.9,7.8,7.8,7.8,7.8,7.4,6.9,6.9,7,6.7,6.6,6.4,6.8,6.7,6.8,6.5,6.6,7.2,7.3,7.2,7.6,8.3,8.7,9,8,8.1,8,8.2,8.3,8.3,8.9,8.5,6.9,6.6,6.3,6.5,6.7,6.6,6.3,6.3,6.5,6.8,6.9,7.4,8,8.4,8.1,8
Latvia,7.1,7,6.9,6.8,6.6,6.5,6.3,6.3,6.3,6.3,6.2,6,5.8,5.9,6.5,7.1,7.2,7.6,8.3,8.6,8.7,8.7,8.6,8.3,8.1,8,7.8,7.7,7.7,7.7,7.8,7.9,7.9,7.7,7.3,7.1,7.1,7.3,7.3,7.1,6.9,6.8,6.6,6.5,6.6,6.9,7,7.1,7.1
Lithuania,6.1,5.9,6,6.2,6.2,6.1,6,6,6,6.2,6.4,6.4,6.4,6.6,6.8,7.1,7.4,7.7,8.3,8.6,8.9,9,9.3,9.5,9.1,8.9,8.6,7.9,7.5,7.4,7.5,7.6,7.4,7,6.7,6.5,6.8,6.7,6.6,6.5,6.2,6.1,5.4,5.4,5.4,5.8,5.9,6,6.1
Luxembourg,5.5,5.4,5.3,5.3,5.5,5.6,5.6,5.6,5.7,5.7,5.8,5.6,5.6,5.7,5.7,5.8,5.8,6.5,7.3,7.5,7.5,7.1,6.7,6.6,6.4,6.4,6.4,6.4,6.3,6.1,5.8,5.6,5.3,5.2,5.1,5,4.8,4.7,4.7,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.4,4.5,4.6
Hungary,3.6,3.5,3.6,3.4,3.2,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.5,3,3.5,3.6,3.3,3.7,5.1,4.8,4.3,4.3,4.2,4.1,4.3,4.3,4.5,4.4,4.1,4.1,4.3,4.2,4,4,3.6,3.8,3.8,3.7,3.7,3.7,3.3,3.3,3.5,3.1,3.6,3.5,3.6,3.6
Malta,3.5,3.6,3.6,3.7,3.9,3.8,3.8,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.7,4.4,4.6,4.8,4.9,4.9,4.8,4.6,4.4,4.3,4.1,4,3.7,3.4,3.3,3.3,3.3,3.3,3.3,3,2.9,3,3,3.1,3,3,3,2.9,2.9,2.9,3,3.1
Netherlands,4.7,4.6,4.6,4.6,4.4,4.4,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.5,4.3,4.1,4,4.1,4.5,4.6,5.4,5.5,5.5,5.4,5.3,5,4.9,4.7,4.7,4.6,4.5,4.4,4.2,4.1,4.2,4.1,3.9,3.7,3.8,3.6,3.4,3.3,3.2,3.3,3.4,3.6,3.8,3.8,3.7
Austria,5.3,4.9,5.2,4.9,5.1,5,5,4.9,4.6,4.8,5,4.6,4.9,4.2,4.7,4.3,4.6,4.9,6.1,7,7.9,6.7,6.3,6.4,6.1,5.9,6.8,7.6,7,6.6,7.3,6.8,6.2,6.1,5.9,4.9,5.8,5.2,4.8,4.7,4.8,4.3,4.4,4.7,4.2,4.6,5.2,5.1,4.6
Poland,3.9,3.9,3.9,3.9,3.8,3.7,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,3,2.9,2.9,2.9,3.1,3.2,3.4,3.5,3.4,3.4,3.3,3.3,3.4,3.5,3.7,3.8,3.7,3.6,3.5,3.3,3.1,3,3,3,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3,3,3
Portugal,6.7,6.8,6.8,6.7,6.7,6.6,6.7,6.7,6.7,6.6,6.5,6.6,6.5,6.8,6.9,6.9,6.6,6.3,6.4,6,7.5,8,8.2,8,7.6,7.2,6.9,7,6.9,6.7,7,7,6.8,6.6,6.3,6.3,6.3,6.2,5.8,5.8,5.7,5.8,5.9,6,6,6,6,6.1,6.1
Romania,5.2,5,4.9,5.2,4.9,4.9,4.9,4.9,4.8,4.8,4.7,5,4.8,4.9,5,4.9,5.2,5.6,6.1,6.5,6.7,6.3,6.3,6.1,6.1,6.2,6.3,6,5.9,5.9,5.6,5.5,5.4,5.3,5.5,5.3,5.5,5.5,5.7,5.8,5.7,5.6,5.5,5.5,5.4,5.4,5.5,5.4,5.5
Slovenia,4.6,4.4,4.4,4.5,4.6,4.5,4.3,4.3,4.5,4.8,4.9,4.7,4.3,4,3.9,4.1,4.2,4.5,5.2,5.4,5.4,5.2,5.2,5.1,5.1,5.2,5.3,5.5,5.4,5.1,4.7,4.5,4.4,4.4,4.5,4.6,4.7,4.6,4.4,4.1,4,4.1,4.4,4.5,4.4,4.1,4,4,4.1
Slovakia,6.1,6,5.9,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.7,5.7,5.8,5.9,6,6,6.6,6.6,6.7,6.9,6.9,6.9,6.9,6.9,7,7.1,7.1,7.2,7.1,7,6.9,6.8,6.7,6.6,6.6,6.5,6.5,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6,6,5.9
Finland,7.3,7.1,5.9,6.7,7,6.4,7.2,6.8,6.2,6.5,7,6.7,6.9,6.9,6.5,6.8,6.7,6.7,7.2,8.6,7.6,8.2,8.8,8.1,8.3,7.9,8.2,8.4,8,7.6,8.6,8.2,7.6,7.7,7.1,7.5,6.7,6.8,7.2,7.1,6.5,6.5,6.2,6.1,6.8,7.2,7.3,7.3,6.4
Sweden,6.6,6.7,6.8,6.4,7,7.5,6.6,6.7,6.5,7.3,7.3,6.9,7,7.7,6.9,7.4,7.9,6.8,8.1,8.5,9.2,9.5,9.3,9.1,8.8,8.6,9.3,8.9,9.1,9.5,9,9,9.4,8.5,8.9,8.8,8.3,8.2,8,8,7.4,7.6,7.7,7.7,7.6,7,7,7.1,7.7
Iceland,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.6,3.8,4,4.2,4.2,4.3,4.3,4.4,4.7,5,5.3,5.6,6,6.2,6.4,6.5,6.7,7,7.1,7.1,7,6.9,6.9,6.7,6.2,5.8,5.4,5,4.8,4.6,4.5,4.3,4.1,4,3.8,3.6,3.5,3.5,3.6,3.6,3.5,3.5
Norway,4,3.7,3.7,4,4.3,3.7,3.2,3.4,3.8,3.9,4.4,3.6,4.4,3.8,4,4.1,3.6,3.6,4.1,4.8,4.9,5.9,5.4,5.3,5.6,5.1,4.7,5.2,5.4,4.4,5.1,5.4,4.4,5,4.1,3.7,3.7,3.8,3.2,3.3,3.5,3.1,2.6,3.8,3,2.8,3.6,3.4,3.3
Switzerland,4.7,4.8,4.8,4.7,4.7,4.6,4.4,4.4,4.3,4.4,4.4,4.3,4.1,4.1,4.1,4.2,4.2,4.4,4.5,4.7,4.9,5,5.1,5.1,5.1,5.2,5.2,5.4,5.5,5.5,5.3,5.2,5.2,5.1,5,4.9,4.8,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,:
United Kingdom,4,3.9,3.8,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.9,3.9,3.9,3.9,3.8,4,4.4,4.7,4.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
